Ep 60 | Steps: 300 | Reward: -13.38 | Loss: 0.0184 | Epsilon: 0.547 | Success: NO
Ep 61 | Steps: 300 | Reward: 8.55 | Loss: 0.0186 | Epsilon: 0.542 | Success: NO
Ep 62 | Steps: 59 | Reward: -50.84 | Loss: 0.0171 | Epsilon: 0.536 | Success: NO
Ep 63 | Steps: 300 | Reward: 31.37 | Loss: 0.0171 | Epsilon: 0.531 | Success: NO
Ep 64 | Steps: 300 | Reward: -11.21 | Loss: 0.0172 | Epsilon: 0.526 | Success: NO
Ep 65 | Steps: 300 | Reward: -15.61 | Loss: 0.0183 | Epsilon: 0.520 | Success: NO
Ep 66 | Steps: 300 | Reward: -27.37 | Loss: 0.0189 | Epsilon: 0.515 | Success: NO
Ep 67 | Steps: 81 | Reward: -54.57 | Loss: 0.0219 | Epsilon: 0.510 | Success: NO
Ep 68 | Steps: 300 | Reward: -15.23 | Loss: 0.0220 | Epsilon: 0.505 | Success: NO
Ep 69 | Steps: 300 | Reward: 13.48 | Loss: 0.0205 | Epsilon: 0.500 | Success: NO
Ep 70 | Steps: 300 | Reward: -10.62 | Loss: 0.0205 | Epsilon: 0.495 | Success: NO
Ep 71 | Steps: 300 | Reward: 36.07 | Loss: 0.0267 | Epsilon: 0.490 | Success: NO
Ep 72 | Steps: 300 | Reward: -1.36 | Loss: 0.0289 | Epsilon: 0.485 | Success: NO
Ep 73 | Steps: 300 | Reward: 6.01 | Loss: 0.0269 | Epsilon: 0.480 | Success: NO
Ep 74 | Steps: 300 | Reward: 5.99 | Loss: 0.0305 | Epsilon: 0.475 | Success: NO
Ep 75 | Steps: 300 | Reward: -41.17 | Loss: 0.0269 | Epsilon: 0.471 | Success: NO
Ep 76 | Steps: 300 | Reward: -0.43 | Loss: 0.0267 | Epsilon: 0.466 | Success: NO
Ep 77 | Steps: 300 | Reward: -1.01 | Loss: 0.0287 | Epsilon: 0.461 | Success: NO
Ep 78 | Steps: 300 | Reward: 46.73 | Loss: 0.0270 | Epsilon: 0.457 | Success: NO
Ep 79 | Steps: 300 | Reward: 140.76 | Loss: 0.0309 | Epsilon: 0.452 | Success: YES
Ep 80 | Steps: 300 | Reward: -75.90 | Loss: 0.0426 | Epsilon: 0.448 | Success: NO
Ep 81 | Steps: 300 | Reward: -44.43 | Loss: 0.0383 | Epsilon: 0.443 | Success: NO
Ep 82 | Steps: 300 | Reward: 36.62 | Loss: 0.0379 | Epsilon: 0.439 | Success: NO
Ep 83 | Steps: 300 | Reward: -77.08 | Loss: 0.0411 | Epsilon: 0.434 | Success: NO
Ep 84 | Steps: 300 | Reward: -46.68 | Loss: 0.0398 | Epsilon: 0.430 | Success: NO
Ep 85 | Steps: 300 | Reward: -18.57 | Loss: 0.0419 | Epsilon: 0.426 | Success: NO
Ep 86 | Steps: 300 | Reward: -106.66 | Loss: 0.0413 | Epsilon: 0.421 | Success: NO
Ep 87 | Steps: 300 | Reward: 16.78 | Loss: 0.0427 | Epsilon: 0.417 | Success: NO
Ep 88 | Steps: 300 | Reward: 2.34 | Loss: 0.0399 | Epsilon: 0.413 | Success: NO
Ep 89 | Steps: 300 | Reward: -43.07 | Loss: 0.0441 | Epsilon: 0.409 | Success: NO
Ep 90 | Steps: 300 | Reward: -16.08 | Loss: 0.0590 | Epsilon: 0.405 | Success: NO
Ep 91 | Steps: 300 | Reward: 37.89 | Loss: 0.0661 | Epsilon: 0.401 | Success: NO
